station_id,timestamp,temperature,humidity,wind_speed,wind_direction,pressure,rainfall
STN_001,2026-01-01 00:00:00,22.37,66.5,3.55,166.2,1011.18,0.0
STN_001,2026-01-01 01:00:00,22.56,68.24,4.68,205.6,1010.08,0.0
STN_001,2026-01-01 02:00:00,21.1,72.28,5.06,260.8,1010.66,0.0
STN_001,2026-01-01 03:00:00,25.16,62.04,5.75,200.2,1010.56,0.0
STN_001,2026-01-01 04:00:00,23.3,70.38,7.67,282.3,1010.98,0.0
STN_001,2026-01-01 05:00:00,22.94,68.55,6.05,195.3,1011.13,0.0
STN_001,2026-01-01 06:00:00,24.39,68.31,5.73,230.4,1010.78,0.0
STN_001,2026-01-01 07:00:00,,66.05,8.14,155.6,1010.42,7.15
STN_001,2026-01-01 08:00:00,27.19,58.51,5.41,268.8,1009.89,0.0
STN_001,2026-01-01 09:00:00,29.65,58.81,8.19,262.1,1010.87,0.0
STN_001,2026-01-01 10:00:00,31.31,50.82,4.91,299.5,1009.68,0.0
STN_001,2026-01-01 11:00:00,31.74,55.22,7.36,307.6,1010.32,0.0
STN_001,2026-01-01 12:00:00,32.65,55.19,8.6,189.2,1009.2,0.0
STN_001,2026-01-01 13:00:00,33.43,46.25,6.13,297.3,1010.41,0.0
STN_001,2026-01-01 14:00:00,35.02,48.0,4.07,307.2,1010.05,0.0
STN_001,2026-01-01 15:00:00,34.06,43.24,2.13,201.4,1009.65,0.0
STN_001,2026-01-01 16:00:00,32.79,53.75,2.35,220.3,1010.37,0.0
STN_001,2026-01-01 17:00:00,30.56,59.66,6.22,287.6,1010.99,0.0
STN_001,2026-01-01 18:00:00,29.28,57.87,2.35,7.9,1009.58,0.0
STN_001,2026-01-01 19:00:00,29.33,55.8,1.61,313.8,1010.35,0.0
STN_001,2026-01-01 20:00:00,27.09,63.06,2.34,244.6,1010.94,0.0
STN_001,2026-01-01 21:00:00,26.77,65.25,9.07,177.7,1009.93,0.0
STN_001,2026-01-01 22:00:00,24.59,70.46,5.13,330.9,1010.61,0.0
STN_001,2026-01-01 23:00:00,22.33,,4.66,341.2,1011.32,0.0
STN_001,2026-01-02 00:00:00,23.0,75.04,3.66,194.7,1010.67,0.0
STN_001,2026-01-02 01:00:00,22.09,77.13,4.85,166.9,1011.01,0.0
STN_001,2026-01-02 02:00:00,21.24,74.61,9.45,203.4,1011.1,0.0
STN_001,2026-01-02 03:00:00,22.66,70.95,4.98,188.3,1011.44,0.0
STN_001,2026-01-02 04:00:00,22.95,73.56,5.5,120.8,1011.84,0.0
STN_001,2026-01-02 05:00:00,21.74,69.47,5.52,220.6,1011.2,0.0
